trial,pair,model_spec,train_months,timeframe,confidence,rr,atr_mult,sample_weight_multiplier,xgb_weight,rf_weight,xgb_params,rf_params,total_return_pct,total_trades,win_rate,profit_factor,max_drawdown,sharpe_ratio,sortino_ratio,net_profit,valid,composite_score
12,NZDUSD,conservative_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 120, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 6, ""min_samples_leaf"": 5, ""n_estimators"": 140, ""n_jobs"": -1}",34.58999999999998,26,38.46153846153847,1.7206249999999994,-16.901408450704224,3.738979303483867,0.0,3459.0,False,-999.0
13,NZDUSD,xgb_weight_2m,2,M5,0.55,1.5,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",6.739999999998654,59,42.3728813559322,1.0660784313725358,-17.647058823530017,0.4950277296324003,0.0,673.9999999998654,False,-999.0
14,NZDUSD,xgb_weight_2m,2,M5,0.6,2.0,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",-6.210000000000036,42,30.952380952380953,0.9262557890986813,-19.26605504587156,-0.5672403144225681,-4.610623826591673,-621.0000000000055,False,-999.0
15,NZDUSD,xgb_weight_2m,2,M5,0.62,2.0,1.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",17.789999999999964,40,37.5,1.2463647694225168,-10.434782608695652,1.6325118142705979,12.91354965130795,1778.9999999999973,False,-999.0
16,NZDUSD,xgb_weight_2m,2,M5,0.65,2.5,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",54.89999999999925,30,46.666666666666664,2.143749999999984,-11.673151750972789,5.61176104578593,0.0,5489.999999999927,True,1.444861253735524
17,NZDUSD,xgb_weight_2m,2,M5,0.68,2.5,2.0,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",24.02142857142797,29,37.93103448275862,1.4432114710456148,-12.994997220678183,2.6459523036077504,289.0892698245341,2402.142857142797,False,-999.0
18,NZDUSD,xgb_weight_2m,2,M5,0.7,3.0,1.5,1.0,1.5,1.0,"{""learning_rate"": 0.05, ""max_depth"": 4, ""n_estimators"": 220, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",18.219999999999892,28,32.142857142857146,1.3196491228070155,-12.096774193548388,1.9117096265743816,1.817229972359816e+16,1821.99999999999,False,-999.0
19,NZDUSD,rf_weight_2m,2,M5,0.55,1.5,1.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",34.00999999999833,63,47.61904761904761,1.3435353535353365,-25.83732057416301,2.303193430472054,0.0,3400.9999999998327,False,-999.0
20,NZDUSD,rf_weight_2m,2,M5,0.6,2.0,1.5,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",59.88,44,47.72727272727273,1.9056261343012701,-18.461538461538463,4.85139892749943,36.7835075866688,5988.000000000004,True,1.2100278904147101
21,NZDUSD,rf_weight_2m,2,M5,0.62,2.0,1.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",41.959999999999965,41,43.90243902439025,1.6353725015142326,-18.461538461538463,3.6708760879833178,26.913881812299252,4195.999999999998,False,-999.0
22,NZDUSD,rf_weight_2m,2,M5,0.65,2.5,1.5,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",41.39999999999931,31,41.935483870967744,1.7666666666666537,-9.608540925266968,4.1451822599854795,0.0,4139.999999999933,False,-999.0
23,NZDUSD,rf_weight_2m,2,M5,0.68,2.5,2.0,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",26.1099999999994,29,37.93103448275862,1.4835185185185071,-13.879003558719017,2.854364718990985,0.0,2610.999999999941,False,-999.0
24,NZDUSD,rf_weight_2m,2,M5,0.7,3.0,1.5,1.0,1.0,1.5,"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 140, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 10, ""min_samples_leaf"": 2, ""n_estimators"": 240, ""n_jobs"": -1}",39.0,27,37.03703703703704,1.7647058823529413,-10.79136690647482,3.956935144186577,0.0,3900.0000000000036,False,-999.0
25,NZDUSD,three_month_3m,3,M5,0.55,1.5,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",50.509999999998925,30,63.33333333333333,2.530606060606027,-10.041841004184132,7.463162931308496,4.701928153020712e+16,5050.999999999894,True,2.2486150548061588
26,NZDUSD,three_month_3m,3,M5,0.6,2.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",35.959999999999965,22,50.0,2.197070572569904,-6.61764705882353,5.888177778059402,30.492851296435198,3595.999999999999,False,-999.0
27,NZDUSD,three_month_3m,3,M5,0.62,2.0,1.0,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",35.959999999999965,22,50.0,2.197070572569904,-6.61764705882353,5.888177778059402,30.492851296435198,3595.999999999999,False,-999.0
28,NZDUSD,three_month_3m,3,M5,0.65,2.5,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",63.39999999999952,15,73.33333333333333,6.283333333333292,-4.363636363636372,14.290049194930965,0.0,6339.999999999955,False,-999.0
29,NZDUSD,three_month_3m,3,M5,0.68,2.5,2.0,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",13.589999999999655,18,38.88888888888889,1.411818181818171,-14.693877551020517,2.455681353654207,2.1084658664980516e+16,1358.9999999999654,False,-999.0
30,NZDUSD,three_month_3m,3,M5,0.7,3.0,1.5,1.0,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 180, ""n_jobs"": -1, ""subsample"": 0.8}","{""max_depth"": 8, ""min_samples_leaf"": 4, ""n_estimators"": 180, ""n_jobs"": -1}",43.58999999999998,15,53.333333333333336,3.0757142857142843,-4.724409448818897,7.943796815798871,8.115505398059851e+16,4359.000000000001,False,-999.0
31,NZDUSD,m15_class_weight_3m,3,M15,0.55,1.5,1.0,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",37.4999999999994,15,73.33333333333333,4.124999999999949,-4.958677685950427,11.965856729576,0.0,3749.999999999942,False,-999.0
32,NZDUSD,m15_class_weight_3m,3,M15,0.6,2.0,1.5,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",6.0,4,50.0,2.0,-2.7522935779816518,5.291499822392344,0.0,600.0000000000005,False,-999.0
33,NZDUSD,m15_class_weight_3m,3,M15,0.62,2.0,1.0,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",6.0,1,100.0,10.0,0.0,0.0,0.0,600.0000000000005,False,-999.0
34,NZDUSD,m15_class_weight_3m,3,M15,0.65,2.5,1.5,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",7.499999999999946,1,100.0,10.0,0.0,0.0,0.0,749.999999999995,False,-999.0
35,NZDUSD,m15_class_weight_3m,3,M15,0.68,2.5,2.0,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999.0
36,NZDUSD,m15_class_weight_3m,3,M15,0.7,3.0,1.5,1.5,1.0,1.0,"{""learning_rate"": 0.06, ""max_depth"": 4, ""n_estimators"": 160, ""n_jobs"": -1, ""subsample"": 0.9}","{""max_depth"": 8, ""min_samples_leaf"": 3, ""n_estimators"": 180, ""n_jobs"": -1}",0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,False,-999.0
